datum;uitspoeling;afstroming;verhouding
2016-05-14;1045.40295500822;0;100
2016-05-15;1019.71486490376;0;100
2016-05-16;1018.4121976075;0;100
2016-05-17;1001.0934351413;0;100
2016-05-18;1004.00455822028;0;100
2016-05-19;1003.06161483021;0;100
2016-05-20;1008.23210443013;0;100
2016-05-21;994.391462180473;0;100
2016-05-22;1009.14166223587;0;100
2016-05-23;3757.25636979516;0;100
2016-05-24;3903.49369678245;0;100
2016-05-25;3229.39137348838;0;100
2016-05-26;2639.96381854357;0;100
2016-05-27;1864.02643888919;0;100
2016-05-28;1391.09535081706;0;100
2016-05-29;1162.6322207709;0;100
2016-05-30;1126.60526906076;0;100
2016-05-31;1997.46045385215;0;100
2016-06-01;1698.18898752787;0;100
2016-06-02;1329.93815283037;0;100
2016-06-03;1340.93995134831;0;100
2016-06-04;1336.02420915989;0;100
2016-06-05;1107.22910699576;0;100
2016-06-06;1007.73721944602;0;100
2016-06-07;976.649800870134;0;100
2016-06-08;918.32880322489;0;100
2016-06-09;945.951683853455;0;100
2016-06-10;892.861039964205;0;100
2016-06-11;861.714654456359;0;100
2016-06-12;853.395422126961;0;100
2016-06-13;2097.59482185428;0;100
2016-06-14;2783.3725001346;0;100
2016-06-15;3940.36193141826;0;100
2016-06-16;4878.12319181475;1887.02787288079;88.7948717948718
2016-06-17;10045.6521785941;0;100
2016-06-18;8305.04880629276;0;100
2016-06-19;6811.51153612208;0;100
2016-06-20;5891.85701637674;1519.0655809371;90.9189189189189
2016-06-21;8620.30923498384;2351.3463774333;89.2325581395349
2016-06-22;9380.23488989476;27034.5480959358;68.5581395348837
2016-06-23;15170.3532072357;460.841449550996;93.7441860465116
2016-06-24;14128.8805033665;0;100
2016-06-25;10800.7958851743;0;100
2016-06-26;8768.43702452633;0;100
2016-06-27;6970.0866077226;0;100
2016-06-28;6254.58552259658;0;100
2016-06-29;6137.42168329611;694.244770363669;96.9767441860465
2016-06-30;6505.47372924408;2510.85547314558;92.7441860465116
2016-07-01;7672.39288516849;1663.41199349432;90.4186046511628
2016-07-02;7763.7599712176;1625.53738650009;89.5813953488372
2016-07-03;7825.47414132058;0;100
2016-07-04;6421.09492803954;0;100
2016-07-05;4672.97320295327;0;100
2016-07-06;4300.12348334525;0;100
2016-07-07;3177.68942299757;0;100
2016-07-08;2562.46044438982;0;100
2016-07-09;2504.5540247337;0;100
2016-07-10;2156.99617335018;0;100
2016-07-11;1901.34271586735;0;100
2016-07-12;1827.98609980481;0;100
2016-07-13;2029.86411681522;0;100
2016-07-14;2073.79366565556;0;100
2016-07-15;1785.29706075875;0;100
2016-07-16;1535.23538201047;0;100
2016-07-17;1456.26588699553;0;100
2016-07-18;1365.88305818447;0;100
2016-07-19;1327.55753630331;0;100
2016-07-20;1169.12742007906;0;100
2016-07-21;1063.61240116697;0;100
2016-07-22;1063.9506268804;0;100
2016-07-23;1013.83785832939;0;100
2016-07-24;963.974999157879;0;100
2016-07-25;945.917490427644;0;100
2016-07-26;907.318736626965;0;100
2016-07-27;892.761633851557;0;100
2016-07-28;931.975929648932;0;100
